pruid,prename,report_date,numtotal_all_administered,as_of_date,numtotal_dose1_administered,numtotal_dose2_administered,numtotal_dose3_administered,numtotal_dose4_administered,updated
11,Prince Edward Island,2021-01-21,5680,2021-01-16,4293,1387,,,1
61,Northwest Territories,2021-01-21,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-21,3375,2021-01-21,,,,,1
60,Yukon,2021-01-21,3160,2021-01-21,,,,,1
1,Canada,2021-01-21,765623,2021-01-21,268932,28605,0,0,1
24,Quebec,2021-01-22,200627,2021-01-21,,,,,0
35,Ontario,2021-01-22,288117,2021-01-21,259156,28961,0,0,1
59,British Columbia,2021-01-22,110566,2021-01-22,,,,,1
48,Alberta,2021-01-22,97785,2021-01-21,,,,,0
47,Saskatchewan,2021-01-22,31275,2021-01-21,,,,,0
12,Nova Scotia,2021-01-22,10575,2021-01-22,,,,,1
46,Manitoba,2021-01-22,25838,2021-01-22,,,,,1
13,New Brunswick,2021-01-22,10483,2021-01-16,7918,2565,0,,0
10,Newfoundland and Labrador,2021-01-22,8549,2021-01-19,,,,,1
11,Prince Edward Island,2021-01-22,5680,2021-01-16,4293,1387,,,1
61,Northwest Territories,2021-01-22,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-22,3822,2021-01-22,,,,,1
60,Yukon,2021-01-22,3730,2021-01-22,,,,,1
1,Canada,2021-01-22,798940,2021-01-22,271367,32913,0,0,1
24,Quebec,2021-01-23,210252,2021-01-23,,,,,1
35,Ontario,2021-01-23,292092,2021-01-22,260645,31447,0,0,1
59,British Columbia,2021-01-23,110566,2021-01-22,,,,,1
48,Alberta,2021-01-23,98807,2021-01-22,,,,,0
47,Saskatchewan,2021-01-23,32385,2021-01-22,,,,,0
12,Nova Scotia,2021-01-23,10575,2021-01-22,,,,,1
46,Manitoba,2021-01-23,27552,2021-01-23,,,,,1
13,New Brunswick,2021-01-23,10483,2021-01-16,7918,2565,0,,0
10,Newfoundland and Labrador,2021-01-23,8549,2021-01-19,,,,,1
11,Prince Edward Island,2021-01-23,7095,2021-01-23,5211,1884,,,1
61,Northwest Territories,2021-01-23,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-23,3822,2021-01-22,,,,,0
60,Yukon,2021-01-23,3730,2021-01-22,,,,,1
1,Canada,2021-01-23,817801,2021-01-23,273774,35896,0,0,1
24,Quebec,2021-01-24,218755,2021-01-24,,,,,1
35,Ontario,2021-01-24,297132,2021-01-23,261493,35639,0,0,1
59,British Columbia,2021-01-24,110566,2021-01-22,,,,,0
48,Alberta,2021-01-24,99047,2021-01-23,,,,,1
47,Saskatchewan,2021-01-24,33039,2021-01-23,,,,,0
12,Nova Scotia,2021-01-24,10575,2021-01-22,,,,,1
46,Manitoba,2021-01-24,28941,2021-01-24,,,,,1
13,New Brunswick,2021-01-24,10483,2021-01-16,7918,2565,0,,1
10,Newfoundland and Labrador,2021-01-24,8549,2021-01-19,,,,,1
11,Prince Edward Island,2021-01-24,7095,2021-01-23,5211,1884,,,1
61,Northwest Territories,2021-01-24,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-24,3822,2021-01-22,,,,,1
60,Yukon,2021-01-24,3730,2021-01-22,,,,,1
1,Canada,2021-01-24,833627,2021-01-24,274622,40088,0,0,1
24,Quebec,2021-01-25,220715,2021-01-25,,,,,1
35,Ontario,2021-01-25,305821,2021-01-24,263843,41978,0,0,1
59,British Columbia,2021-01-25,119850,2021-01-25,,,,,1
48,Alberta,2021-01-25,99453,2021-01-24,,,,,1
47,Saskatchewan,2021-01-25,33353,2021-01-24,,,,,1
12,Nova Scotia,2021-01-25,11083,2021-01-25,,,,,1
46,Manitoba,2021-01-25,29751,2021-01-25,,,,,1
13,New Brunswick,2021-01-25,10483,2021-01-16,7918,2565,0,,1
10,Newfoundland and Labrador,2021-01-25,8549,2021-01-19,,,,,1
11,Prince Edward Island,2021-01-25,7095,2021-01-23,5211,1884,,,1
61,Northwest Territories,2021-01-25,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-25,4458,2021-01-25,,,,,1
60,Yukon,2021-01-25,3952,2021-01-25,,,,,1
1,Canada,2021-01-25,856456,2021-01-25,276972,46427,0,0,1
24,Quebec,2021-01-26,224879,2021-01-26,,,,,1
35,Ontario,2021-01-26,315017,2021-01-25,266238,48779,0,0,1
59,British Columbia,2021-01-26,122359,2021-01-26,,,,,1
48,Alberta,2021-01-26,99814,2021-01-25,,,,,1
47,Saskatchewan,2021-01-26,34080,2021-01-25,,,,,1
12,Nova Scotia,2021-01-26,11622,2021-01-26,,,,,1
46,Manitoba,2021-01-26,31369,2021-01-26,,,,,1
13,New Brunswick,2021-01-26,10483,2021-01-16,7918,2565,0,,0
10,Newfoundland and Labrador,2021-01-26,8549,2021-01-19,,,,,0
11,Prince Edward Island,2021-01-26,7095,2021-01-23,5211,1884,,,0
61,Northwest Territories,2021-01-26,9471,2021-01-25,,,,,1
62,Nunavut,2021-01-26,4723,2021-01-26,,,,,1
60,Yukon,2021-01-26,4397,2021-01-26,,,,,1
1,Canada,2021-01-26,883858,2021-01-26,279367,53228,0,0,1
24,Quebec,2021-01-27,229219,2021-01-27,,,,,1
35,Ontario,2021-01-27,327280,2021-01-26,271430,55850,0,0,1
59,British Columbia,2021-01-27,124365,2021-01-27,,,,,1
48,Alberta,2021-01-27,101123,2021-01-26,,,,,1
47,Saskatchewan,2021-01-27,34615,2021-01-26,,,,,1
12,Nova Scotia,2021-01-27,12286,2021-01-27,,,,,1
46,Manitoba,2021-01-27,33361,2021-01-27,,,,,1
13,New Brunswick,2021-01-27,10483,2021-01-16,7918,2565,0,,0
10,Newfoundland and Labrador,2021-01-27,10080,2021-01-27,,,,,1
11,Prince Edward Island,2021-01-27,7095,2021-01-23,5211,1884,,,0
61,Northwest Territories,2021-01-27,9471,2021-01-25,,,,,0
62,Nunavut,2021-01-27,4930,2021-01-27,,,,,1
60,Yukon,2021-01-27,5170,2021-01-27,,,,,1
1,Canada,2021-01-27,909478,2021-01-27,284559,60299,0,0,1
24,Quebec,2021-01-28,232986,2021-01-28,,,,,1
35,Ontario,2021-01-28,337148,2021-01-27,274140,63008,0,0,1
59,British Columbia,2021-01-28,127255,2021-01-28,,,,,1
48,Alberta,2021-01-28,102524,2021-01-27,,,,,1
47,Saskatchewan,2021-01-28,34672,2021-01-27,,,,,1
12,Nova Scotia,2021-01-28,13504,2021-01-28,,,,,1
46,Manitoba,2021-01-28,35338,2021-01-28,,,,,1
13,New Brunswick,2021-01-28,14357,2021-01-23,11516,2841,0,,1
10,Newfoundland and Labrador,2021-01-28,10080,2021-01-27,,,,,0
11,Prince Edward Island,2021-01-28,7095,2021-01-23,5211,1884,,,0
61,Northwest Territories,2021-01-28,9471,2021-01-25,,,,,0
62,Nunavut,2021-01-28,5224,2021-01-28,,,,,1
60,Yukon,2021-01-28,5966,2021-01-28,,,,,1
1,Canada,2021-01-28,935620,2021-01-28,290867,67733,0,0,1
24,Quebec,2021-01-29,236057,2021-01-29,,,,,1
35,Ontario,2021-01-29,345548,2021-01-28,276315,69233,0,0,1
59,British Columbia,2021-01-29,129241,2021-01-29,,,,,1
48,Alberta,2021-01-29,104327,2021-01-28,,,,,1
47,Saskatchewan,2021-01-29,35091,2021-01-28,,,,,1
12,Nova Scotia,2021-01-29,14589,2021-01-29,,,,,1
46,Manitoba,2021-01-29,37309,2021-01-29,,,,,1
13,New Brunswick,2021-01-29,14357,2021-01-23,11516,2841,0,,0
10,Newfoundland and Labrador,2021-01-29,10080,2021-01-27,,,,,0
11,Prince Edward Island,2021-01-29,7095,2021-01-23,5211,1884,,,0
61,Northwest Territories,2021-01-29,9471,2021-01-25,,,,,0
62,Nunavut,2021-01-29,5316,2021-01-29,,,,,1
60,Yukon,2021-01-29,6496,2021-01-29,,,,,1
1,Canada,2021-01-29,954977,2021-01-29,293042,73958,0,0,1
24,Quebec,2021-01-31,238227,2021-01-31,,,,,1
35,Ontario,2021-01-31,348407,2021-01-30,277534,70873,0,0,1
59,British Columbia,2021-01-31,129241,2021-01-29,,,,,0
48,Alberta,2021-01-31,106254,2021-01-30,,,,,1
47,Saskatchewan,2021-01-31,35359,2021-01-30,,,,,1
12,Nova Scotia,2021-01-31,14589,2021-01-29,,,,,0
46,Manitoba,2021-01-31,40785,2021-01-31,,,,,1
13,New Brunswick,2021-01-31,14357,2021-01-23,11516,2841,0,,0
10,Newfoundland and Labrador,2021-01-31,10080,2021-01-27,,,,,0
11,Prince Edward Island,2021-01-31,7844,2021-01-30,5279,2565,,,1
61,Northwest Territories,2021-01-31,9471,2021-01-25,,,,,0
62,Nunavut,2021-01-31,5316,2021-01-29,,,,,0
60,Yukon,2021-01-31,6496,2021-01-29,,,,,0
1,Canada,2021-01-31,966426,2021-01-31,294329,76279,0,0,1
24,Quebec,2021-02-01,239023,2021-02-01,,,,,1
35,Ontario,2021-02-01,350174,2021-01-31,277793,72381,0,0,1
59,British Columbia,2021-02-01,138892,2021-02-01,,,,,1
48,Alberta,2021-02-01,106347,2021-01-31,,,,,1
47,Saskatchewan,2021-02-01,35447,2021-01-31,,,,,1
12,Nova Scotia,2021-02-01,14906,2021-02-01,,,,,1
46,Manitoba,2021-02-01,41817,2021-02-01,,,,,1
13,New Brunswick,2021-02-01,14357,2021-01-23,11516,2841,0,,0
10,Newfoundland and Labrador,2021-02-01,10080,2021-01-27,,,,,0
11,Prince Edward Island,2021-02-01,7844,2021-01-30,5279,2565,,,0
61,Northwest Territories,2021-02-01,9471,2021-01-25,,,,,0
62,Nunavut,2021-02-01,5464,2021-02-01,,,,,1
60,Yukon,2021-02-01,7358,2021-02-01,,,,,1
1,Canada,2021-02-01,981180,2021-02-01,294588,77787,0,0,1
24,Quebec,2021-02-02,240830,2021-02-02,,,,,1
35,Ontario,2021-02-02,353746,2021-02-01,278670,75076,0,0,1
59,British Columbia,2021-02-02,140452,2021-02-02,,,,,1
48,Alberta,2021-02-02,107438,2021-02-01,,,,,1
47,Saskatchewan,2021-02-02,35575,2021-02-01,,,,,1
12,Nova Scotia,2021-02-02,15165,2021-02-02,,,,,1
46,Manitoba,2021-02-02,42674,2021-02-02,,,,,1
13,New Brunswick,2021-02-02,14357,2021-01-23,11516,2841,0,,0
10,Newfoundland and Labrador,2021-02-02,10080,2021-01-27,,,,,0
11,Prince Edward Island,2021-02-02,7844,2021-01-30,5279,2565,,,0
61,Northwest Territories,2021-02-02,12366,2021-02-01,,,,,1
62,Nunavut,2021-02-02,5506,2021-02-02,,,,,1
60,Yukon,2021-02-02,8368,2021-02-02,,,,,1
1,Canada,2021-02-02,994401,2021-02-02,295465,80482,0,0,1
24,Quebec,2021-02-03,241546,2021-02-03,,,,,1
35,Ontario,2021-02-03,358994,2021-02-02,279820,79174,0,0,1
59,British Columbia,2021-02-03,142146,2021-02-03,,,,,1
48,Alberta,2021-02-03,109341,2021-02-02,,,,,1
47,Saskatchewan,2021-02-03,35763,2021-02-02,,,,,1
12,Nova Scotia,2021-02-03,15837,2021-02-03,,,,,1
46,Manitoba,2021-02-03,43318,2021-02-03,,,,,1
13,New Brunswick,2021-02-03,14357,2021-01-23,11516,2841,0,,1
10,Newfoundland and Labrador,2021-02-03,12596,2021-02-03,,,,,1
11,Prince Edward Island,2021-02-03,7844,2021-01-30,5279,2565,,,0
61,Northwest Territories,2021-02-03,12366,2021-02-01,,,,,0
62,Nunavut,2021-02-03,5519,2021-02-03,,,,,1
60,Yukon,2021-02-03,9091,2021-02-03,,,,,1
1,Canada,2021-02-03,1008718,2021-02-03,296615,84580,0,0,1
24,Quebec,2021-02-04,243955,2021-02-04,,,,,1
35,Ontario,2021-02-04,367056,2021-02-03,280990,86066,0,0,1
59,British Columbia,2021-02-04,145567,2021-02-04,,,,,1
48,Alberta,2021-02-04,112388,2021-02-03,,,,,1
47,Saskatchewan,2021-02-04,36527,2021-02-03,,,,,1
12,Nova Scotia,2021-02-04,16448,2021-02-04,,,,,1
46,Manitoba,2021-02-04,44051,2021-02-04,,,,,1
13,New Brunswick,2021-02-04,17256,2021-01-30,12791,4465,0,,0
10,Newfoundland and Labrador,2021-02-04,12596,2021-02-03,,,,,0
11,Prince Edward Island,2021-02-04,7844,2021-01-30,5279,2565,,,0
61,Northwest Territories,2021-02-04,12366,2021-02-01,,,,,0
62,Nunavut,2021-02-04,5568,2021-02-05,,,,,1
60,Yukon,2021-02-04,9931,2021-02-04,,,,,1
1,Canada,2021-02-04,1031553,2021-02-04,299060,93096,0,0,1
24,Quebec,2021-02-05,248673,2021-02-05,,,,,1
35,Ontario,2021-02-05,374550,2021-02-04,281952,92598,0,0,1
59,British Columbia,2021-02-05,149564,2021-02-05,,,,,1
48,Alberta,2021-02-05,114066,2021-02-04,,,,,1
47,Saskatchewan,2021-02-05,38710,2021-02-04,,,,,1
12,Nova Scotia,2021-02-05,17295,2021-02-05,,,,,0
46,Manitoba,2021-02-05,45100,2021-02-05,,,,,1
13,New Brunswick,2021-02-05,17256,2021-01-30,12791,4465,0,,0
10,Newfoundland and Labrador,2021-02-05,12596,2021-02-03,,,,,0
11,Prince Edward Island,2021-02-05,7844,2021-01-30,5279,2565,,,1
61,Northwest Territories,2021-02-05,12366,2021-02-01,,,,,0
62,Nunavut,2021-02-05,5649,2021-02-05,,,,,0
60,Yukon,2021-02-05,10519,2021-02-05,,,,,0
1,Canada,2021-02-05,1054188,2021-02-05,300022,99628,0,0,1
24,Quebec,2021-02-07,256550,2021-02-06,,,,,0
35,Ontario,2021-02-07,384226,2021-02-06,283238,100988,0,0,1
59,British Columbia,2021-02-07,149564,2021-02-05,,,,,1
48,Alberta,2021-02-07,118384,2021-02-06,,,,,1
47,Saskatchewan,2021-02-07,42296,2021-02-06,,,,,1
12,Nova Scotia,2021-02-07,17295,2021-02-05,,,,,1
46,Manitoba,2021-02-07,47280,2021-02-07,,,,,1
13,New Brunswick,2021-02-07,17256,2021-01-30,12791,4465,0,,0
10,Newfoundland and Labrador,2021-02-07,12596,2021-02-03,,,,,0
11,Prince Edward Island,2021-02-07,8815,2021-02-06,5302,3513,,,1
61,Northwest Territories,2021-02-07,12366,2021-02-01,,,,,0
62,Nunavut,2021-02-07,5649,2021-02-05,,,,,1
60,Yukon,2021-02-07,10519,2021-02-05,,,,,0
1,Canada,2021-02-07,1082796,2021-02-07,301331,108966,0,0,1
24,Quebec,2021-02-08,257659,2021-02-06,,,,,0
35,Ontario,2021-02-08,413203,2021-02-07,290771,122432,0,0,1
59,British Columbia,2021-02-08,154496,2021-02-08,,,,,1
48,Alberta,2021-02-08,120357,2021-02-07,,,,,1
47,Saskatchewan,2021-02-08,42987,2021-02-07,,,,,1
12,Nova Scotia,2021-02-08,18219,2021-02-07,,,,,1
46,Manitoba,2021-02-08,48187,2021-02-07,,,,,1
13,New Brunswick,2021-02-08,17256,2021-01-30,12791,4465,0,,0
10,Newfoundland and Labrador,2021-02-08,12596,2021-02-03,,,,,0
11,Prince Edward Island,2021-02-08,8815,2021-02-06,5302,3513,,,0
61,Northwest Territories,2021-02-08,12366,2021-02-01,,,,,0
62,Nunavut,2021-02-08,5852,2021-02-08,,,,,1
60,Yukon,2021-02-08,11059,2021-02-08,,,,,1
1,Canada,2021-02-08,1123052,2021-02-08,308864,130410,0,0,1
24,Quebec,2021-02-09,257659,2021-02-06,,,,,1
35,Ontario,2021-02-09,427724,2021-02-08,295125,132599,0,0,1
59,British Columbia,2021-02-09,155585,2021-02-09,,,,,1
48,Alberta,2021-02-09,124325,2021-02-08,,,,,1
47,Saskatchewan,2021-02-09,44521,2021-02-08,,,,,1
12,Nova Scotia,2021-02-09,18826,2021-02-09,,,,,1
46,Manitoba,2021-02-09,49373,2021-02-09,,,,,1
13,New Brunswick,2021-02-09,17256,2021-01-30,12791,4465,0,,1
10,Newfoundland and Labrador,2021-02-09,12596,2021-02-03,,,,,0
11,Prince Edward Island,2021-02-09,8815,2021-02-06,5302,3513,,,0
61,Northwest Territories,2021-02-09,13132,2021-02-08,,,,,1
62,Nunavut,2021-02-09,5939,2021-02-09,,,,,1
60,Yukon,2021-02-09,11234,2021-02-09,,,,,1
1,Canada,2021-02-09,1146985,2021-02-09,313218,140577,0,0,1
24,Quebec,2021-02-10,266588,2021-02-09,,,,,1
35,Ontario,2021-02-10,443038,2021-02-09,298468,144570,0,0,1
59,British Columbia,2021-02-10,157797,2021-02-10,,,,,1
48,Alberta,2021-02-10,129452,2021-02-09,,,,,1
47,Saskatchewan,2021-02-10,45371,2021-02-09,,,,,1
12,Nova Scotia,2021-02-10,20013,2021-02-10,,,,,1
46,Manitoba,2021-02-10,50554,2021-02-10,,,,,1
13,New Brunswick,2021-02-10,17256,2021-01-30,12791,4465,0,,1
10,Newfoundland and Labrador,2021-02-10,14020,2021-02-10,,,,,1
11,Prince Edward Island,2021-02-10,8815,2021-02-06,5302,3513,,,0
61,Northwest Territories,2021-02-10,13132,2021-02-08,,,,,0
62,Nunavut,2021-02-10,6126,2021-02-10,,,,,1
60,Yukon,2021-02-10,11344,2021-02-10,,,,,1
1,Canada,2021-02-10,1183506,2021-02-10,316561,152548,0,0,1
24,Quebec,2021-02-11,272331,2021-02-10,,,,,1
35,Ontario,2021-02-11,459504,2021-02-10,299912,159592,0,0,1
59,British Columbia,2021-02-11,159887,2021-02-11,,,,,1
48,Alberta,2021-02-11,135575,2021-02-10,,,,,1
47,Saskatchewan,2021-02-11,46263,2021-02-10,,,,,1
12,Nova Scotia,2021-02-11,21032,2021-02-11,,,,,1
46,Manitoba,2021-02-11,51256,2021-02-11,,,,,0
13,New Brunswick,2021-02-11,18663,2021-02-06,13250,5413,0,,1
10,Newfoundland and Labrador,2021-02-11,14687,2021-02-10,,,,,0
11,Prince Edward Island,2021-02-11,8815,2021-02-06,5302,3513,,,0
61,Northwest Territories,2021-02-11,13132,2021-02-08,,,,,0
62,Nunavut,2021-02-11,6185,2021-02-11,,,,,1
60,Yukon,2021-02-11,11434,2021-02-11,,,,,1
1,Canada,2021-02-11,1218764,2021-02-11,318464,168518,0,0,1
24,Quebec,2021-02-12,280612,2021-02-11,,,,,1
35,Ontario,2021-02-12,474707,2021-02-11,301676,173031,0,0,1
59,British Columbia,2021-02-12,162982,2021-02-12,,,,,1
48,Alberta,2021-02-12,140389,2021-02-10,,,,,0
47,Saskatchewan,2021-02-12,46788,2021-02-12,,,,,1
12,Nova Scotia,2021-02-12,22343,2021-02-11,,,,,0
46,Manitoba,2021-02-12,52664,2021-02-11,,,,,0
13,New Brunswick,2021-02-12,18663,2021-02-06,13250,5413,0,,0
10,Newfoundland and Labrador,2021-02-12,14687,2021-02-10,,,,,0
11,Prince Edward Island,2021-02-12,8815,2021-02-06,5302,3513,,,0
61,Northwest Territories,2021-02-12,13132,2021-02-06,,,,,1
62,Nunavut,2021-02-12,6205,2021-02-12,,,,,1
60,Yukon,2021-02-12,11514,2021-02-12,,,,,1
1,Canada,2021-02-12,1253501,2021-02-12,320228,181957,0,0,1
24,Quebec,2021-02-15,294886,2021-02-14,,,,,1
35,Ontario,2021-02-15,499589,2021-02-14,302956,196633,0,0,1
59,British Columbia,2021-02-15,162982,2021-02-12,,,,,0
48,Alberta,2021-02-15,146603,2021-02-14,,,,,1
47,Saskatchewan,2021-02-15,49809,2021-02-15,,,,,1
12,Nova Scotia,2021-02-15,22343,2021-02-11,,,,,0
46,Manitoba,2021-02-15,55065,2021-02-14,,,,,1
13,New Brunswick,2021-02-15,18663,2021-02-06,13250,5413,0,,0
10,Newfoundland and Labrador,2021-02-15,14687,2021-02-10,,,,,0
11,Prince Edward Island,2021-02-15,10583,2021-02-13,5690,4893,,,1
61,Northwest Territories,2021-02-15,13132,2021-02-06,,,,,0
62,Nunavut,2021-02-15,6205,2021-02-12,,,,,0
60,Yukon,2021-02-15,11514,2021-02-12,,,,,0
1,Canada,2021-02-15,1306061,2021-02-15,321896,206939,0,0,1
24,Quebec,2021-02-16,297694,2021-02-15,,,,,1
35,Ontario,2021-02-16,508797,2021-02-15,303995,204802,0,0,1
59,British Columbia,2021-02-16,171755,2021-02-16,,,,,1
48,Alberta,2021-02-16,149138,2021-02-15,,,,,1
47,Saskatchewan,2021-02-16,49841,2021-02-16,,,,,1
12,Nova Scotia,2021-02-16,23140,2021-02-15,,,,,1
46,Manitoba,2021-02-16,56044,2021-02-15,,,,,1
13,New Brunswick,2021-02-16,18663,2021-02-06,13250,5413,0,,0
10,Newfoundland and Labrador,2021-02-16,14687,2021-02-15,,,,,1
11,Prince Edward Island,2021-02-16,10583,2021-02-13,5690,4893,,,0
61,Northwest Territories,2021-02-16,14157,2021-02-13,,,,,1
62,Nunavut,2021-02-16,6645,2021-02-16,,,,,1
60,Yukon,2021-02-16,11514,2021-02-12,,,,,0
1,Canada,2021-02-16,1332658,2021-02-16,322935,215108,0,0,1
24,Quebec,2021-02-17,299673,2021-02-16,,,,,1
35,Ontario,2021-02-17,521660,2021-02-16,306379,215281,0,0,1
59,British Columbia,2021-02-17,176015,2021-02-16,,,,,1
48,Alberta,2021-02-17,152056,2021-02-16,,,,,1
47,Saskatchewan,2021-02-17,50326,2021-02-16,,,,,1
12,Nova Scotia,2021-02-17,24049,2021-02-17,,,,,1
46,Manitoba,2021-02-17,56707,2021-02-17,,,,,1
13,New Brunswick,2021-02-17,18663,2021-02-06,13250,5413,0,,1
10,Newfoundland and Labrador,2021-02-17,16458,2021-02-17,,,,,0
11,Prince Edward Island,2021-02-17,10583,2021-02-13,5690,4893,,,0
61,Northwest Territories,2021-02-17,14157,2021-02-15,,,,,1
62,Nunavut,2021-02-17,6805,2021-02-17,,,,,1
60,Yukon,2021-02-17,11514,2021-02-12,,,,,0
1,Canada,2021-02-17,1358666,2021-02-17,325319,225587,0,0,1
24,Quebec,2021-02-18,302118,2021-02-17,,,,,1
35,Ontario,2021-02-18,538962,2021-02-17,312006,226956,0,0,1
59,British Columbia,2021-02-18,180691,2021-02-18,,,,,1
48,Alberta,2021-02-18,155532,2021-02-17,,,,,1
47,Saskatchewan,2021-02-18,50465,2021-02-17,,,,,1
12,Nova Scotia,2021-02-18,25032,2021-02-18,,,,,1
46,Manitoba,2021-02-18,57702,2021-02-18,,,,,0
13,New Brunswick,2021-02-18,21144,2021-02-13,13646,7498,0,,0
10,Newfoundland and Labrador,2021-02-18,16458,2021-02-17,,,,,0
11,Prince Edward Island,2021-02-18,10583,2021-02-13,5690,4893,,,0
61,Northwest Territories,2021-02-18,14157,2021-02-15,,,,,0
62,Nunavut,2021-02-18,6850,2021-02-18,,,,,1
60,Yukon,2021-02-18,11544,2021-02-18,,,,,1
1,Canada,2021-02-18,1391238,2021-02-18,331342,239347,0,0,1
24,Quebec,2021-02-19,311651,2021-02-18,,,,,1
35,Ontario,2021-02-19,560612,2021-02-18,322679,237933,0,0,1
59,British Columbia,2021-02-19,192942,2021-02-19,,,,,1
48,Alberta,2021-02-19,160423,2021-02-18,,,,,1
47,Saskatchewan,2021-02-19,53030,2021-02-19,,,,,1
12,Nova Scotia,2021-02-19,25032,2021-02-17,,,,,1
46,Manitoba,2021-02-19,58974,2021-02-18,,,,,1
13,New Brunswick,2021-02-19,21144,2021-02-13,13646,7498,0,,0
10,Newfoundland and Labrador,2021-02-19,16458,2021-02-17,,,,,0
11,Prince Edward Island,2021-02-19,10583,2021-02-13,5690,4893,,,1
61,Northwest Territories,2021-02-19,14157,2021-02-13,,,,,1
62,Nunavut,2021-02-19,6915,2021-02-19,,,,,1
60,Yukon,2021-02-19,11850,2021-02-19,,,,,1
1,Canada,2021-02-19,1443771,2021-02-19,342015,250324,0,0,1
24,Quebec,2021-02-22,353894,2021-02-21,,,,,1
35,Ontario,2021-02-22,607137,2021-02-21,351819,255318,0,0,1
59,British Columbia,2021-02-22,218726,2021-02-22,,,,,1
48,Alberta,2021-02-22,173539,2021-02-21,,,,,1
47,Saskatchewan,2021-02-22,61730,2021-02-22,,,,,1
12,Nova Scotia,2021-02-22,27521,2021-02-17,,,,,0
46,Manitoba,2021-02-22,62365,2021-02-19,,,,,1
13,New Brunswick,2021-02-22,21144,2021-02-13,13646,7498,0,,0
10,Newfoundland and Labrador,2021-02-22,16458,2021-02-17,,,,,0
11,Prince Edward Island,2021-02-22,11606,2021-02-20,6450,5156,,,0
61,Northwest Territories,2021-02-22,14157,2021-02-13,,,,,0
62,Nunavut,2021-02-22,6977,2021-02-22,,,,,1
60,Yukon,2021-02-22,12173,2021-02-22,,,,,1
1,Canada,2021-02-22,1587427,2021-02-22,371915,267972,0,0,1
24,Quebec,2021-02-23,365978,2021-02-22,,,,,1
35,Ontario,2021-02-23,624637,2021-02-22,364865,259772,0,0,1
59,British Columbia,2021-02-23,224354,2021-02-23,,,,,1
48,Alberta,2021-02-23,180755,2021-02-22,,,,,1
47,Saskatchewan,2021-02-23,62342,2021-02-23,,,,,1
12,Nova Scotia,2021-02-23,27966,2021-02-21,,,,,1
46,Manitoba,2021-02-23,63970,2021-02-22,,,,,1
13,New Brunswick,2021-02-23,21144,2021-02-13,13646,7498,0,,0
10,Newfoundland and Labrador,2021-02-23,16458,2021-02-17,,,,,1
11,Prince Edward Island,2021-02-23,11606,2021-02-20,6450,5156,,,0
