week_end,pruid,prename,prfname,vaccine_group,product_name,numtotal_totaldoses_admin,numtotal_dose1_admin,numtotal_dose2_admin,numtotal_dose3_admin,numtotal_dose4_admin,numtotal_dose5+_admin,numtotal_dosenotreported_admin,delta_week_freq,numdelta_dose1,numdelta_dose2,numdelta_dose3,numdelta_dose4,numdelta_dose5+,numdelta_notreported
2020-12-19,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),3632,3632,0,,,,0,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Total,Total,3634,3634,0,,,,0,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Unknown,Unknown,2,2,0,,,,0,,,,,,,
2020-12-19,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2020-12-19,60,Yukon,Yukon,Total,Total,0,0,0,,,,0,,,,,,,
2020-12-19,60,Yukon,Yukon,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,60,Yukon,Yukon,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Total,Total,0,0,0,,,,0,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Total,Total,0,0,0,,,,0,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,1,Canada,Canada,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),46153,28937,0,,,,17216,,,,,,,
2020-12-26,1,Canada,Canada,Total,Total,46156,28940,0,,,,17216,,,,,,,
2020-12-26,1,Canada,Canada,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,1,Canada,Canada,Unknown,Unknown,3,3,0,,,,0,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1785,1785,0,,,,0,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,Total,1785,1785,0,,,,0,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1146,1146,0,,,,0,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Total,Total,1146,1146,0,,,,0,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),2218,2218,0,,,,0,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Total,Total,2218,2218,0,,,,0,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),2606,2606,0,,,,0,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Total,Total,2606,2606,0,,,,0,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,24,Quebec,Québec,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),17216,,,,,,17216,,,,,,,
2020-12-26,24,Quebec,Québec,Total,Total,17216,,,,,,17216,,,,,,,
2020-12-26,24,Quebec,Québec,Unknown,Not reported,0,,,,,,0,,,,,,,
2020-12-26,24,Quebec,Québec,Unknown,Unknown,0,,,,,,0,,,,,,,
2020-12-26,35,Ontario,Ontario,Total,Total,,,,,,,,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),2177,2177,0,,,,0,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Total,Total,2177,2177,0,,,,0,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1769,1769,0,,,,0,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Total,Total,1769,1769,0,,,,0,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,48,Alberta,Alberta,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),4792,4792,0,,,,0,,,,,,,
2020-12-26,48,Alberta,Alberta,Total,Total,4792,4792,0,,,,0,,,,,,,
2020-12-26,48,Alberta,Alberta,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,48,Alberta,Alberta,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),12444,12444,0,,,,0,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Total,Total,12447,12447,0,,,,0,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Unknown,Unknown,3,3,0,,,,0,,,,,,,
2020-12-26,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2020-12-26,60,Yukon,Yukon,Total,Total,0,0,0,,,,0,,,,,,,
2020-12-26,60,Yukon,Yukon,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,60,Yukon,Yukon,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Total,Total,0,0,0,,,,0,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Total,Total,0,0,0,,,,0,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,1,Canada,Canada,Moderna Spikevax formulations,Moderna Spikevax,1778,1778,0,,,,0,,,,,,,
2021-01-02,1,Canada,Canada,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),67350,39045,0,,,,28305,,,,,,,
2021-01-02,1,Canada,Canada,Total,Total,82512,54207,0,,,,28305,,,,,,,
2021-01-02,1,Canada,Canada,Unknown,Not reported,13383,13383,0,,,,0,,,,,,,
2021-01-02,1,Canada,Canada,Unknown,Unknown,1,1,0,,,,0,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1785,1785,0,,,,0,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,Total,1785,1785,0,,,,0,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1669,1669,0,,,,0,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Total,Total,1669,1669,0,,,,0,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),2720,2720,0,,,,0,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Total,Total,2720,2720,0,,,,0,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),2886,2886,0,,,,0,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Total,Total,2886,2886,0,,,,0,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,24,Quebec,Québec,Moderna Spikevax formulations,Moderna Spikevax,0,,,,,,0,,,,,,,
2021-01-02,24,Quebec,Québec,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),28305,,,,,,28305,,,,,,,
2021-01-02,24,Quebec,Québec,Total,Total,28305,,,,,,28305,,,,,,,
2021-01-02,24,Quebec,Québec,Unknown,Not reported,0,,,,,,0,,,,,,,
2021-01-02,24,Quebec,Québec,Unknown,Unknown,0,,,,,,0,,,,,,,
2021-01-02,35,Ontario,Ontario,Total,Total,,,,,,,,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),3432,3432,0,,,,0,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Total,Total,3432,3432,0,,,,0,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),3540,3540,0,,,,0,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Total,Total,3540,3540,0,,,,0,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,48,Alberta,Alberta,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,48,Alberta,Alberta,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2021-01-02,48,Alberta,Alberta,Total,Total,13383,13383,0,,,,0,,,,,,,
2021-01-02,48,Alberta,Alberta,Unknown,Not reported,13383,13383,0,,,,0,,,,,,,
2021-01-02,48,Alberta,Alberta,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Moderna Spikevax formulations,Moderna Spikevax,1656,1656,0,,,,0,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),23013,23013,0,,,,0,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Total,Total,24670,24670,0,,,,0,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Unknown,Unknown,1,1,0,,,,0,,,,,,,
2021-01-02,60,Yukon,Yukon,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2021-01-02,60,Yukon,Yukon,Total,Total,0,0,0,,,,0,,,,,,,
2021-01-02,60,Yukon,Yukon,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,60,Yukon,Yukon,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Moderna Spikevax formulations,Moderna Spikevax,122,122,0,,,,0,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Total,Total,122,122,0,,,,0,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Total,Total,0,0,0,,,,0,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,1,Canada,Canada,Moderna Spikevax formulations,Moderna Spikevax,46739,25899,0,,,,20840,,,,,,,
2021-01-09,1,Canada,Canada,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),168861,101924,4521,,,,62416,,,,,,,
2021-01-09,1,Canada,Canada,Total,Total,221866,134067,4521,,,,83278,,,,,,,
2021-01-09,1,Canada,Canada,Unknown,Not reported,6241,6241,0,,,,0,,,,,,,
2021-01-09,1,Canada,Canada,Unknown,Unknown,25,3,0,,,,22,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),3700,2847,853,,,,0,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,Total,3700,2847,853,,,,0,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Moderna Spikevax formulations,Moderna Spikevax,38,38,0,,,,0,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),2437,2437,0,,,,0,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Total,Total,2475,2475,0,,,,0,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),3831,2755,1076,,,,0,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Total,Total,3831,2755,1076,,,,0,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Moderna Spikevax formulations,Moderna Spikevax,0,0,0,,,,0,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Total,Total,6241,6241,0,,,,0,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Unknown,Not reported,6241,6241,0,,,,0,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,24,Quebec,Québec,Moderna Spikevax formulations,Moderna Spikevax,20840,,,,,,20840,,,,,,,
2021-01-09,24,Quebec,Québec,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),62416,,,,,,62416,,,,,,,
2021-01-09,24,Quebec,Québec,Total,Total,83278,,,,,,83278,,,,,,,
2021-01-09,24,Quebec,Québec,Unknown,Not reported,0,,,,,,0,,,,,,,
2021-01-09,24,Quebec,Québec,Unknown,Unknown,22,,,,,,22,,,,,,,
2021-01-09,35,Ontario,Ontario,Total,Total,,,,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Moderna Spikevax formulations,Moderna Spikevax,101,101,0,,,,0,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),9473,8593,880,,,,0,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Total,Total,9574,8694,880,,,,0,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Moderna Spikevax formulations,Moderna Spikevax,542,542,0,,,,0,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),5927,4974,953,,,,0,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Total,Total,6469,5516,953,,,,0,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,48,Alberta,Alberta,Moderna Spikevax formulations,Moderna Spikevax,12746,12746,0,,,,0,,,,,,,
2021-01-09,48,Alberta,Alberta,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),32276,31552,724,,,,0,,,,,,,
2021-01-09,48,Alberta,Alberta,Total,Total,45022,44298,724,,,,0,,,,,,,
2021-01-09,48,Alberta,Alberta,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,48,Alberta,Alberta,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,Moderna Spikevax formulations,Moderna Spikevax,11446,11446,0,,,,0,,,,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),48801,48766,35,,,,0,,,,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,Total,Total,60250,60215,35,,,,0,,,,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,Unknown,Unknown,3,3,0,,,,0,,,,,,,
2021-01-09,60,Yukon,Yukon,Moderna Spikevax formulations,Moderna Spikevax,495,495,0,,,,0,,,,,,,
2021-01-09,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,
2021-01-09,60,Yukon,Yukon,Total,Total,495,495,0,,,,0,,,,,,,
2021-01-09,60,Yukon,Yukon,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2021-01-09,60,Yukon,Yukon,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2021-01-09,61,Northwest Territories,Territoires du Nord-Ouest,Moderna Spikevax formulations,Moderna Spikevax,511,511,0,,,,0,,,,,,,
